Blog Name,Owner,Site Link,Submission Guidelines,Contact,Notes
Digiindie ,Jomar,,,,
Digital Dripped ,Jomar,,,,
The Dirty Bodega ,Jomar,,,,
Dis Is Hip Hop ,Jomar,,,,
Diverse Hip Hop ,Jomar,,,,
Dj Booth.net ,Jomar,,,,
DJs Doing Work ,Jomar,,,,
Doble-H.com ,Jomar,,,,
Doing Justice ,Jomar,,,,
iShine ,Jomar,,,,
DopeClusive ,Jomar,,,,
DopeDC.com ,Jomar,,,,
DopeFuture ,Jomar,,,,
DopeFuse ,Jomar,,,,
DopeMinds.com ,Jomar,,,,
Dope Music Blog ,Jomar,,,,
Dope Muzik Addict ,Jomar,,,,
Dope Raps ,Jomar,,,,
DotGotIt ,Jomar,,,,
Double Cin ,Jomar,,,,
The Double Truth ,Jomar,,,,
Droptops & Stacy Lattisaw Tapes ,Jomar,,,,
DubCNN ,Jomar,,,,
Earmilk ,Jomar,,,,
Ear Patrol ,Jomar,,,,
East Coast Digital Radio ,Jomar,,,,
Eclectic Relaxation ,Jomar,,,,
EgoTripLand ,Jomar,,,,
El Cuaderno ,Jomar,,,,
Elevator Mag ,Jomar,,,,
Elite Muzik ,Jomar,,,,
embassy730 ,Jomar,,,,
Emcee ,Jomar,,,,
Enthusiast ,Jomar,,,,
Emerald Culture ,Jomar,,,,
Emilio Sparks ,Jomar,,,,
Endless Hip-Hop ,Jomar,,,,
The Essence of Rap & Hip-Hop ,Jomar,,,,
Etalon Hip Hop ,Jomar,,,,
Eternal Cadence ,Jomar,,,,
European Hip Hop (Veni Vidi Vici) ,Jomar,,,,
EveryDejaVu ,Jomar,,,,
Everyone Loves Hip Hop ,Jomar,,,,
Faded Off ,Jomar,,,,
Fake Shore Drive ,Jomar,,,,
Fashionably-Early ,Jomar,,,,
FashodoeMusic ,Jomar,,,,
Female RapStars ,Jomar,,,,
The Find Magazine ,Jomar,,,,
Fist In The Air ,Jomar,,,,
FlowDVD Fly Definition ,Jomar,,,,
Tha Fly Nation ,Jomar,,,,
ForDaFresh Magazine ,Jomar,,,,
For the DMV Only ,Jomar,,,,
FreshHipHop ,Jomar,,,,
FreeHipHopNow ,Jomar,,,,
Fresh ,Jomar,,,,
Freespace ,Jomar,,,,
The Fresh Heir ,Jomar,,,,
FreshNDef ,Jomar,,,,
Fresh News By Steph ,Jomar,,,,
Fresh New Tracks ,Jomar,,,,
Future of Rap Music ,Jomar,,,,
FUXWITHIT ,Jomar,,,,
FWMJ's Producers I Know (For Beatmakers Exclusively) ,Jomar,,,,
GetMoneyMusic ,Jomar,,,,
Getspinz ,Jomar,,,,
Get That Paper Son ,Jomar,,,,
Gettin Up ,Jomar,,,,
Get Your Buzz Up ,Jomar,,,,
Gimme That Beat ,Jomar,,,,
Ginger Slim's ,Jomar,,,,
Glitter and Stilettos ,Jomar,,,,
Global Grind ,Jomar,,,,
Good Music All Day ,Jomar,,,,
Good Tunes ,Jomar,,,,
Got Hip Hop ,Jomar,,,,
Gowhere Hip Hop ,Jomar,,,,
Go Ill ,Jomar,,,,
Grand Smack ,Jomar,,,,
Grassroots Grind ,Jomar,,,,
Great Music All Night ,Jomar,,,,
Greedmont Park ,Jomar,,,,
The Greener Side of Hip Hop ,Jomar,,,,
Greenhitz ,Jomar,,,,
Grime Culture ,Jomar,,,,
Grindin ,Jomar,,,,
Grip Squad ,Jomar,,,,
Grndgood ,Jomar,,,,
Groove On Fire ,Jomar,,,,
Groovisionary ,Jomar,,,,
Happy ,Jomar,,,,
Hard In The Paint ,Jomar,,,,
HashOutLoud ,Jomar,,,,
Hear-That-First ,Jomar,,,,
Heatcasters ,Jomar,,,,
Heat Identity Patrol ,Jomar,,,,
HHND.org aka Hip Hop Never Dies ,Jomar,,,,
HHNS.se ,Jomar,,,,
Hip Hop Renaissance ,Jomar,,,,
High Yellow Soul ,Jomar,,,,
Hillydilly ,Jomar,,,,
HipHop360 ,Jomar,,,,
Hip-Hop 4 Black Unity ,Jomar,,,,
Hip-Hop Amore ,Jomar,,,,
HipHopCore ,Jomar,,,,
HipHopClub.biz ,Jomar,,,,
HipHopCanada ,Jomar,,,,
Hip Hop Certified ,Jomar,,,,
Hip Hop Club ,Jomar,,,,
Hip Hop Colombia ,Jomar,,,,
Hip Hop Dependency ,Jomar,,,,
Hip Hop Din Romania ,Jomar,,,,
HipHopDons ,Jomar,,,,
The Hip-Hop Dugout ,Jomar,,,,
HipHipDurso ,Jomar,,,,
HipHopDX.com ,Jomar,,,,
HipHopEarly ,Jomar,,,,
HipHop Encounter ,Jomar,,,,
Hip-Hop Feign ,Jomar,,,,
HipHopGame ,Jomar,,,,
HipHopGiant ,Jomar,,,,
Hip Hop Has Soul ,Jomar,,,,
TheHipHopHead ,Jomar,,,,
Hip Hop Headquarters ,Jomar,,,,
HipHopHundred ,Jomar,,,,
HIPHOP is AWOL ,Jomar,,,,
HIPHOPISSOMESMO ,Jomar,,,,
Hip Hop Is Read ,Jomar,,,,
HipHopKing.nl ,Jomar,,,,
Hip-HopKings.com ,Jomar,,,,
Hip Hop Lead ,Jomar,,,,
HipHopLeague ,Jomar,,,,
Hip-Hop Life And Times ,Jomar,,,,
Hip Hop Life Magazine ,Jomar,,,,
HipHop LT ,Jomar,,,,
Hip-Hop Made In Ita ,Jomar,,,,
HipHopMatome ,Jomar,,,,
The Hip-Hop Mafia ,Jomar,,,,
HIPHOP Metropolis ,Jomar,,,,
HipHop.mu ,Jomar,,,,
Hip Hop Mula ,Jomar,,,,
HipHopND ,Jomar,,,,
HipHopNometry.org ,Jomar,,,,
hiphopOMM ,Jomar,,,,
HipHopOnDeck ,Jomar,,,,
The HipHop.org ,Jomar,,,,
HipHopPulsacao ,Jomar,,,,
Hip Hop Push ,Jomar,,,,
The HIP HOP Realm ,Jomar,,,,
HipHopRec.com ,Jomar,,,,
HipHop Reviews For Dummies ,Jomar,,,,
HipHopRuckus.com ,Jomar,,,,
HipHop-R-US ,Jomar,,,,
HipHopScope ,Jomar,,,,
HipHop Since1987 ,Jomar,,,,
Hip-Hop Site ,Jomar,,,,
Hip-Hop.sk ,Jomar,,,,
Hip Hop Sou Eu ,Jomar,,,,
The Hip Hop Speakeasy ,Jomar,,,,
HipHop-Today ,Jomar,,,,
Hip Hop Trending ,Jomar,,,,
Hip Hop TV ,Jomar,,,,
Hip Hop Update ,Jomar,,,,
Hip-Hop Vibe ,Jomar,,,,
HipHopVip ,Jomar,,,,
Hip Hop Worldwide ,Jomar,,,,
Hipstrumentals (Instrumental Website) ,Jomar,,,,
Hitstape ,Jomar,,,,
Holy Culture ,Jomar,,,,
Hood Representer ,Jomar,,,,
HotNewHipHop ,Jomar,,,,
House of Aura ,Jomar,,,,
House of Hip-Hop ,Jomar,,,,
Houston Hip Hop Fix ,Jomar,,,,
HTPdotCalm ,Jomar,,,,
HumanFankind ,Jomar,,,,
Hypefloats ,Jomar,,,,
Hypetrak ,Jomar,,,,
i75 Magazine ,Jomar,,,,
I Am Feed Me Kicks ,Jomar,,,,
I Am Hip Hop Magazine ,Jomar,,,,
I AM NOT A RAPPER ,Jomar,,,,
I Am Somebody Lifestyles ,Jomar,,,,
iHeartDilla ,Jomar,,,,
iHipHop ,Jomar,,,,
Illegal Promo ,Jomar,,,,
illfrequency ,Jomar,,,,
The Illixer ,Jomar,,,,
ILL MateriaL ,Jomar,,,,
ILLSocietyMAG ,Jomar,,,,
iLLVibes ,Jomar,,,,
Ill Will ,Jomar,,,,
I LIVE HIP HOP ,Jomar,,,,
InboxEight ,Jomar,,,,
Indigalaxy ,Jomar,,,,
Indie360.TV ,Jomar,,,,
Indie Castle ,Jomar,,,,
indiehiphop.net ,Jomar,,,,
IndieRapBlog ,Jomar,,,,
InFlexWeTrust ,Jomar,,,,
Internet Kills Radio ,Jomar,,,,
Intrigued Music Blog ,Josh,http://intrigued-intrigued.blogspot.com/,none,Email or tweet: tjones7726@yahoo.com / @TyDJCJones,
ItsBizkit ,Josh,http://itsbizkit.com/,none,itsbizkit@gmail.com,
It's Rap ,Josh,http://www.itsrap.de/kontakt/,none,info@itsrap.de,german
I Still Love H.E.R. ,Josh,http://istillloveher.de/category/beat-tapes/,,,no submission but good for blogroll and beat tapes
Jack Thriller ,Josh,http://jackthriller.com/contact/,"name, title, producer, genre, management contact, epk link, artist contact, soundcloud links, pic/artwork links",contact form,
Jam The Hype ,Josh,NA,,christian blog,
Jams.to ,Josh,NA,,no contact,
JayForce ,Josh,http://www.jayforce.com/contact-info/,"Please properly label & provide additional information regarding the song/video including but not limited to:
“ARTIST NAME“, “SONG TITLE“, “PRODUCER(s)“, “DIRECTOR”
.
.
Please include helpful information to questions we may have such as:
1. Is the song/video a single? Is there a radio clean version available?
2. Is the song a part of an upcoming album/mixtape? If so what is the title & release date?
3. Is there a related video available for the single via Vimeo or Youtube?
4. Does the artist have a short yet effective bio available? Where from? What record label etc?
5. Does the artist or producer have a twitter, facebook, itunes buy links, and or website?",JAYFORCETEAM@GMAIL.COM,ATL
JoeHova's Mindframe ,Josh,http://joehovasmf.com/contact-info/,"soundcloud link, artist information, Twitter information, and a picture/artwork.",JoeHovasMF@gmail.,
Juice Magazin ,Josh,http://juice.de/kontakt/,none,post@juice.de,berlin - these guys are big 50K twiiter https://twitter.com/JuiceMagazin
Jukebox:DC ,Josh,http://jukeboxdc.com/about-us/,none,feedback@jukeboxdc.com,
JustWhooKid ,Josh,NA,,djwhookid site,
Kara Khaotic ,Josh,http://karakhaotic.com/contact/,"To Submit Music Singles – Send Official Artwork + Music Links (only)
To Submit Mixtapes – Send ONE Mixtape + 1 Professional Photo
To Submit Videos – Send links only 
",KaraKhaotic@gmail.com,
Keep It Classic ,Josh,NA,,movie blog,
Kevin Nottingham ,Josh,NA,,label,
KEYB2LOCK ,Josh,http://keyb2lock.com/contact/,none,keyb2lock@gmail.com,
KickBackTV ,Josh,NA,,useful example of how NOT to write a submission,
Killer BoomBox ,Josh,http://killerboombox.com/contact-us,"Your Name:
Artist’s Name:
Artist’s Location:
Song Streaming & Download Link:
Video Link:
Producer of Song:
Mixtape Where Song is Featured:
Artist’s Facebook Fan Page:
Artist’s Twitter Page:
Two High Res Pictures of the Artist / Cover Art for the Song:",killerboombox@gmail.com,
Killer Hip Hop ,Josh,http://www.killerhiphop.com/about/,none,info@Killerhiphop.com,seems big
Kill The Rave ,Josh,NA,,,
Kingsize Mag ,Josh,http://www.kingsizemagazine.se/kontakta-oss/,none,info@kingsizemagazine.se,sweden
Known Unknown ,Josh,NA,,,
KOG Worldwide ,Josh,NA,,,
The Kollection ,Josh,http://thekollection.com/category/hip-hop-pop/,,idk but it's cool,
KYITL ,Josh,NA,,,
La Casa Del Rap ,Josh,http://www.lacasadelrap.com/contattaci,none,contact form,italy
Land Ground Under ,Josh,http://landgroundunder.com/contact/,"1. Artist/Group Name

2. Link To Music

3. Links to Twitter/Facebook/Soundcloud/Etc.

4. Any Other Necessary Information On The Project/Artist.

",submissions@landgroundunder.com,
Le 16 Bar ,Josh,NA,,,
LeakedEarly ,Josh,NA,,,
Leakrew ,Josh,http://leakrew.com/about-me/,none,info@leakrew.com,
TheLeftHandSide ,Josh,https://thelefthandside.wordpress.com/contact-2/,none,danlefthandside@gmail.com,
LeftOver Cake ,Josh,http://www.leftovercake.com/submissions/,"relevant subject
artist name(s)
title of submission
link(s) to submission (preferably with embed codes)
descriptions and/or press releases
photos and/or artwork
social media links",submissions@leftovercake.com,
Le Hip Hop Sur Ecoute ,Josh,http://lehiphopsurecoute.com/contact/,none,stylematic@gmail.com,
Le Tourne Disque ,Josh,http://www.letournedisque.com/messages/new,none,contact form or twitter,
Lil Hip Hop ,Josh,NA,,,
Lily Mercer ,Josh,http://www.lilymercer.co.uk/category/contact/,streamable link,lilymercersubmissions@gmail.com,
Tha Lookout ,Josh,http://www.thalookout.com/submit-work/,none,music@thalookout.com,
Los Angeles Leakers,Josh,http://losangelesleakers.com/contact/,none,LaLeakers@gmail.com,
The Lost Tapes ,Josh,http://claaa7.blogspot.com/,none,lost.tapes.claaa7@gmail.com,
Love Gabby V ,Josh,NA,,,
Lozza ,Josh,NA,,under construction,
The Lunch Line ,Josh,NA,,,
Lunch 'N' Leftovers ,Josh,NA,,,
Lyrically Fit ,Josh,NA,,,
Magazine Rap Swiss ,Josh,NA,,,
Malodious Song ,Josh,NA,,,
Mandiie Martinez ,Josh,http://mandiiemartinez.com/contact/,none,media@mandiiemartinez.com,
The Masked Gorilla ,Josh,http://www.themaskedgorilla.com/contact-us/,"Email ""NEWWAVES[at]TheMaskedGorilla.com"" with: 

- ""NEW WAVES"" in the subject line

- Name

- Age

- Location

- Random info about your life

- Soundcloud Link

- Photo

No mass emails, no managers, publicists, or record labels… Just send us one email, you yourself, with the above information and only the above information. Any emails not following these rules will not be read. ",NEWWAVES@TheMaskedGorilla.com,
Mass Appeal ,Josh,http://massappeal.com/contact-us/,none,hello@massappeal.com,
Match Musik ,Josh,,,,
The MC Report ,Josh,,,,
MeanCulture ,Josh,,,,
Medina Ink ,Josh,,,,
Mega City Hip-Hop ,Josh,,,,
The Microscopic Giant ,Josh,,,,
Midwest Monstars ,Josh,,,,
Mighty Burners ,Josh,,,,
Mike Trampe TV ,Josh,,,,
Mimesi Society ,Josh,,,,
Mina Say What ,Josh,,,,
MindBonics ,Josh,,,,
MixKings ,Josh,,,,
MixtapeFM ,Josh,,,,
TheMixtapeKids ,Josh,,,,
MOOVMNT ,Josh,,,,
The Motiv ,Josh,,,,
MrOneHundred's Muzic Corner ,Josh,,,,
Ms Dynasty ,Josh,,,,
Music & Strength TV ,Josh,,,,
Musically Trapped N Thought ,Josh,,,,
Music Imperium ,Josh,,,,
Musicnotch ,Josh,,,,
Music On The Dot ,Josh,,,,
The Music Reform ,Josh,,,,
The Music Stash ,Josh,,,,
MusicxInfinity ,Josh,,,,
Muzic Junkies ,Josh,,,,
MusikReform.com ,Josh,,,,
Muzikos Virtuve ,Josh,,,,
Muzik Spirit ,Josh,,,,
MyHipHop.it ,Josh,,,,
My Word Is Vinyl ,Josh,,,,
Nahright ,Josh,,,,
Nanci O Is Hip Hip ,Josh,,,,
Nasdank ,Josh,,,,
TheNeedleDrop.com ,Josh,,,,
TheNEHipHop ,Josh,,,,
Neighborhood Watch World Wide ,Josh,,,,
New Cultura ,Josh,,,,
New H2O ,Josh,,,,
That New Hip-Hop ,Josh,,,,
New Hip-Hop Music Shop ,Josh,,,,
New Noise Hip Hop ,Josh,,,,
NikkiSiixx.com ,Josh,,,,
No-Buzz.net ,Josh,,,,
Nodfactor ,Josh,,,,
Northstar HipHop ,Josh,,,,
Now Hip Hop ,Josh,,,,
Not Quite Millionaires ,Josh,,,,
Nuu Elementz ,Josh,,,,
Offbeat Indie ,Josh,,,,
Oh Dope ,Josh,,,,
Oh Hey Doctor ,Josh,,,,
Oh So Fresh! Music ,Josh,,,,
Ok-Tho ,Josh,,,,
Old To The New ,Josh,,,,
The One Mic ,Josh,,,,
One Throne ,Josh,,,,
OneTwoOneTwo ,Josh,,,,
OnlyDaHotSh*t ,Josh,,,,
OnlyHipHop ,Josh,,,,
OnlyTheRealest ,Josh,,,,
Only Vibe ,Josh,,,,
OnSmash ,Josh,,,,
The Other Ground Hip Hop ,Josh,,,,
Other World Hip Hop ,Josh,,,,
Out Da Box ,Josh,,,,
Oz Hip-Hop ,Josh,,,,
Paeday Music ,Josh,,,,
Pardon The Movement ,Josh,,,,
PatIsDope ,Josh,,,,
PCRockers ,Josh,,,,
Peace Magazine ,Josh,,,,
The Phlash Effect ,Josh,,,,
Plaincut ,Josh,,,,
Plantao Hip Hop ,Josh,,,,
Platform8470 ,Josh,,,,
Play This Hip Hop ,Josh,,,,
Poppa Fats' Dlghts ,Josh,,,,
Popkiller ,Josh,,,,
Potholes In My Blog ,Josh,,,,
PreciseEarz ,Josh,,,,
Pretty Dirtball ,Josh,,,,
PrettyMenace ,Josh,,,,
Pro City Vault ,Josh,,,,
Producers Unit ,Josh,,,,
Professu ,Josh,,,,
Prophetic ,Josh,,,,
Poetic ,Josh,,,,
Province ,Josh,,,,
Pure Hip Hop Heat ,Josh,,,,
Pursuit of Dopeness ,Josh,,,,
Pwr Moves ,Josh,,,,
Randope ,Josh,,,,
Rap4Ever.net ,Josh,,,,
Rap-As.com ,Josh,,,,
RapBasement ,Josh,,,,
RapBlog ,Josh,,,,
Rap Bullet ,Josh,,,,
RapBurger ,Josh,,,,
RapConQueso ,Josh,,,,
Rap Critics ,Josh,,,,
RapDall America ,Josh,,,,
RapDose ,Josh,,,,
RapFix ,Josh,,,,
Rapgasm ,Josh,,,,
Rap GhettoYouth ,Josh,,,,
Rap Is Full ,Josh,,,,
Rapmaniacz ,Josh,,,,
Rap-N-Blues ,Josh,,,,
Rapohelizenz (For Beatmakers Exclusively) ,Josh,,,,
Rap On Air ,Josh,,,,
Rapperr.com ,Josh,,,,
Rappernet.com ,Josh,,,,
Rapper's Delite ,Josh,,,,
Rap Mixoff ,Josh,,,,
Rap Reviews ,Josh,,,,
Rap Riot Raps & Hustles ,Josh,,,,
Rapswag ,Josh,,,,
The Rap Up ,Josh,,,,
Rapwave ,Josh,,,,
RapXclusive ,Josh,,,,
Rapzilla ,Josh,,,,
RareHipHop.com ,Josh,,,,
RawDrive ,Josh,,,,
RawHustle ,Josh,,,,
Rawroots ,Josh,,,,
RealHipHopForever.com ,Josh,,,,
RealTalkHipHop ,Josh,,,,
Rebels Wit No Cause ,Josh,,,,
The Record Stache ,Josh,,,,
The Redefined ,Josh,,,,
The Red Tag Society ,Josh,,,,
Remixed & Blasted ,Josh,,,,
Respect ,Josh,,,,
Respect This Fresh ,Josh,,,,
REUP Spot ,Josh,,,,
Revolutionary Ink ,Josh,,,,
Rhyme Junkie ,Josh,,,,
Rhyme On Beat ,Josh,,,,
RhymeStreet ,Josh,,,,
Rhythm22 ,Josh,,,,
Rise24 ,Josh,,,,
RisingHype (Videos Only) ,Josh,,,,
Robots and Bass Drops ,Josh,,,,
RockTheDub ,Josh,,,,
Rookie TV ,Josh,,,,
The Root Music ,Josh,,,,
Royal Gergo ,Josh,,,,
R.R.H.H. (Railroad Hip Hop) ,Josh,,,,
Ruby Hornet ,Josh,,,,
Rudeboyy ,Josh,,,,
Rugged Ones ,Josh,,,,
Rule4080.com ,Josh,,,,
Salute The Art ,Josh,,,,
Sampleface ,Josh,,,,
SC Bonkers ,Josh,,,,
Semtex ,Josh,,,,
Sermon's Domain ,Josh,,,,
SheBloggin ,Josh,,,,
Shook One ,Josh,,,,
Sicker Than Your Average ,Josh,,,,
Sizzle Nation ,Josh,,,,
Sling Theory ,Josh,,,,
SlumLegends.com ,Josh,,,,
Smarter Hip Hop ,Josh,,,,
The Smoking Section ,Josh,,,,
Social8gency ,Josh,,,,
SoleHipHop ,Josh,,,,
SoloBeats ,Josh,,,,
Solo Vibes Music ,Josh,,,,
soulBrother ,Josh,,,,
SoulCulture ,Josh,,,,
Spellcast Radio ,Josh,,,,
Sphere of Hip-Hop ,Josh,,,,
SpitFireHipHop ,Josh,,,,
S*Row Today ,Josh,,,,
Stashed ,Josh,,,,
Steady Bloggin ,Josh,,,,
Stereo Assault ,Josh,,,,
Stereogum ,Josh,,,,
Stimulate Your Soul ,Josh,,,,
Str8OutDaDen ,Josh,,,,
Straight Fresh ,Josh,,,,
Streets Connect ,Josh,,,,
Street Dose ,Josh,,,,
Street Hop Magazine ,Josh,,,,
Street Khemistry ,Josh,,,,
Strictly Beats (For Beatmakers Exclusively) ,Josh,,,,
Strictly Hip Hop ,Josh,,,,
StupidDOPE ,Josh,,,,
Subversom ,Josh,,,,
SugarCayne ,Josh,,,,
Sunete ,Josh,,,,
Sub.Sol ,Josh,,,,
The Surface ,Josh,,,,
Surviving The Golden Age ,Josh,,,,
Sway's Universe ,Josh,,,,
Syffal ,Josh,,,,
Talking All That Rap ,Josh,,,,
TalkoftheStreets ,Josh,,,,
TampaHipHop.com ,Josh,,,,
TapeDeck ,Josh,,,,
ThaDrill ,Josh,,,,
Tha Fixx ,Josh,,,,
Tha Produce Section ,Josh,,,,
That Fix ,Josh,,,,
That Loud ,Josh,,,,
Thats Enuff ,Josh,,,,
The Tika.com ,Josh,,,,
ThisIs50 ,Josh,,,,
This Is Book's Music ,Josh,,,,
This Song Is Sick ,Josh,,,,
This Is Hip Hop Music ,Josh,,,,
ThisSoundGoesAround.com ,Josh,,,,
This Is Walder ,Josh,,,,
Thoughts.Stories.Life ,Josh,,,,
Tonkonst HIPHOP ,Josh,,,,
Too Chill Hip Hop ,Josh,,,,
Too Good for Radio ,Josh,,,,
TrackBlasters ,Josh,,,,
Tricksta's World ,Josh,,,,
Triller Than Most ,Josh,,,,
Trouble Makers ,Josh,,,,
True Alliance ,Josh,,,,
True School Academy ,Josh,,,,
Tunelinks ,Josh,,,,
U Call That Love (UCTL) (Bi-Lingual) ,Josh,,,,
UGOTWAX ,Josh,,,,
UGSMAG ,Josh,,,,
Ugyldigblogg.com ,Josh,,,,
UK All Day ,Josh,,,,
UK Hip-Hop Blog ,Josh,,,,
Uncut HipHop ,Josh,,,,
UndergroundHipHopBlog ,Josh,,,,
Underground Idolz ,Josh,,,,
UniversityHype ,Josh,,,,
UnsungHipHop ,Josh,,,,
Upcoming Hip Hop ,Josh,,,,
URB Urban And Gospel ,Josh,,,,
Urban Flair ,Josh,,,,
Urban Hype ,Josh,,,,
Urban Leakz ,Josh,,,,
Urban Vault ,Josh,,,,
Urban Waves ,Josh,,,,
uStyles ,Josh,,,,
utmost blog ,Josh,,,,
Va Talent ,Josh,,,,
The Vault ,Josh,,,,
Versed Online ,Josh,,,,
VersosPerfectos ,Josh,,,,
ViewHipHop.com ,Josh,,,,
Vintage Media Group ,Josh,,,,
Violator Djs ,Josh,,,,
Viva La Hip Hop (Nice Site that Post Concerts in Northern California) ,Josh,,,,
Vocalswords ,Josh,,,,
VoteHipHop ,Josh,,,,
VRS Magazine ,Josh,,,,
We Run The Underground ,Josh,,,,
WeAreVa We Goin' IN ,Josh,,,,
Welcome to Eastvan ,Josh,,,,
WeRunTheUnderground ,Josh,,,,
We The West ,Josh,,,,
WestCoastRydaz ,Josh,,,,
West Come Up ,Josh,,,,
We Up On It ,Josh,,,,
